idea,category,team_size,funding_k,market_size,outcome
"A app offering tools, remote teams and more for students.",SaaS,12,214.2,7,Success
A next gen startup for small businesses to automate learning app and edtech.,EdTech,9,141.7,7,Fail
A AI powered app that lets freelancers track productivity software through scheduling tool.,SaaS,9,108.6,7,Fail
An smart service that helps seniors with recipes and cooking.,FoodTech,5,148.2,5,Success
A on demand product that lets travelers book foodtech through tiffin service.,FoodTech,10,164.1,7,Success
A AI powered platform that lets freelancers track tournaments through game community.,Gaming,10,182.2,3,Fail
An community driven service that helps seniors with getaways and lending.,Travel,10,99.0,6,Fail
An personalized app that helps young professionals with destinations and tour packages.,Travel,11,67.4,7,Success
"A solution offering remote teams, customer support software and more for travelers.",SaaS,11,81.1,5,Fail
A peer to peer startup for home cooks to save on stocks and payments.,FinTech,3,84.5,8,Fail
An peer to peer solution that helps students with micro loans and money.,FinTech,20,274.8,6,Success
A next gen startup that lets small businesses learn team management through analytics dashboard.,SaaS,10,117.6,4,Fail
A peer to peer product that lets teenagers automate virtual classroom through live tutoring.,EdTech,15,227.9,6,Success
An peer to peer solution that helps young professionals with local tours and data reporting.,SaaS,11,271.5,6,Fail
An AI powered startup that helps travelers with fitness coaching and nutrition.,HealthTech,7,102.8,7,Fail
A smart website that lets home cooks learn healthcare through wellness.,HealthTech,7,31.4,3,Fail
A AI powered platform that lets small businesses connect with fitness coaching through doctor appointments.,HealthTech,6,153.6,6,Success
A on demand startup that lets home cooks save on symptom checker through gaming.,HealthTech,8,67.0,9,Success
"A service offering workflow automation, hotels and more for women.",Travel,5,263.8,4,Fail
An personalized product that helps gamers with fintech and credit card.,FinTech,11,265.4,8,Success
A hyperlocal product for young professionals to learn test prep and homework help.,EdTech,10,413.9,8,Success
An peer to peer website that helps travelers with travel itinerary and tourism guide.,Travel,12,102.4,5,Fail
A AI powered solution for seniors to connect with meals and recipes.,FoodTech,11,524.5,6,Success
An community driven app that helps women with therapy sessions and live tutoring.,HealthTech,14,198.2,6,Success
"A startup offering investing, digital wallet and more for young professionals.",FinTech,9,240.1,5,Success
A next gen startup for students to save on homework help and study groups.,EdTech,10,85.7,9,Success
A peer to peer website that lets teenagers manage team productivity through workflow automation.,SaaS,9,356.0,7,Success
A affordable platform for home cooks to save on virtual classroom and insurance.,EdTech,13,105.1,2,Fail
"A product offering ecommerce, retail and more for freelancers.",Ecommerce,6,281.9,8,Fail
An all in one platform that helps teenagers with travel and boutique.,Ecommerce,4,64.1,7,Fail
A all in one startup for gamers to compare flight deals and trip planning.,Travel,6,215.8,2,Fail
An all in one platform that helps students with language learning and money.,FinTech,11,269.1,7,Success
A personalized website that lets women access certification through e-learning.,EdTech,12,74.2,6,Success
A smart startup that lets small businesses learn trip planning through getaways.,Travel,9,90.3,7,Fail
A on demand product that lets startups access dropshipping through shopping.,Ecommerce,6,57.7,6,Fail
A personalized app for women to organize level challenges and live tutoring.,EdTech,18,246.8,5,Success
A hyperlocal solution for small businesses to track neobank and investing.,FinTech,6,237.1,7,Success
A next gen service that lets freelancers compare fitness coaching through yoga classes.,HealthTech,15,223.7,5,Success
A hyperlocal startup for travelers to book dropshipping and handmade products.,Ecommerce,9,84.0,10,Success
"A solution offering customer support software, hr platform and more for small businesses.",SaaS,4,188.7,3,Fail
A community driven app for seniors to learn mentorship and coding lessons.,EdTech,2,319.5,8,Success
"A app offering investing, level challenges and more for travelers.",FinTech,14,600.0,5,Success
A AI powered website that lets young professionals organize productivity software through homestays.,SaaS,12,77.0,9,Success
An peer to peer service that helps teenagers with restaurant booking and foodtech.,FoodTech,2,193.2,3,Fail
A smart solution that lets women discover travel through trips.,Travel,1,76.6,5,Fail
An on demand startup that helps home cooks with tour packages and tourism guide.,Travel,11,67.8,8,Success
A on demand startup for seniors to compare invoicing tool and leaderboards.,SaaS,7,210.7,6,Fail
A peer to peer platform for travelers to manage healthcare and telemedicine.,HealthTech,3,319.3,6,Fail
An AI powered platform that helps freelancers with automation and tour packages.,Travel,4,65.4,8,Success
"A product offering automation, game streaming and more for teenagers.",SaaS,9,88.9,10,Success
"A product offering upi, budgeting and more for home cooks.",FinTech,9,63.6,6,Fail
A affordable startup that lets women organize hotel booking through marketplace.,Travel,9,122.9,4,Success
"A startup offering classroom, quizzes and more for freelancers.",EdTech,6,211.9,8,Success
A peer to peer solution for home cooks to book arcade and food ordering.,FoodTech,7,54.5,6,Fail
An next gen service that helps startups with budgeting and banking.,FinTech,10,87.5,10,Success
A next gen service for young professionals to track lending and savings.,FinTech,4,54.6,6,Success
An on demand startup that helps women with fitness coaching and healthtech.,HealthTech,7,165.3,6,Success
"A platform offering tour packages, travel booking and more for travelers.",Travel,12,115.5,5,Success
"A platform offering online shopping, ecommerce and more for home cooks.",Ecommerce,1,89.1,6,Fail
"A solution offering learning app, arcade and more for young professionals.",EdTech,10,81.7,7,Fail
