age,income_k,spend_score,online_activity
57,25,28,49
41,52,43,74
27,118,52,42
46,72,23,48
36,97,63,40
67,83,43,15
28,29,65,68
58,86,42,34
28,39,72,66
32,92,42,69
36,80,46,56
60,91,41,1
29,102,42,54
39,103,51,70
23,42,53,64
26,43,71,47
33,92,50,59
55,40,26,13
37,30,76,66
23,44,97,94
32,100,59,43
57,56,25,16
18,14,99,86
33,57,77,61
53,57,30,23
31,43,58,89
32,84,47,42
20,12,65,77
32,61,57,82
52,65,33,30
55,61,44,17
43,81,50,63
25,36,80,82
38,95,55,29
25,43,60,67
54,65,49,34
27,65,72,77
30,43,61,94
46,75,34,24
57,54,18,27
19,65,82,68
33,67,79,82
52,48,38,12
38,92,38,64
60,65,33,26
29,70,58,29
34,89,52,43
39,81,36,75
31,24,64,89
35,42,40,71
43,82,68,31
18,23,80,93
59,73,39,32
49,57,8,27
60,75,44,15
29,48,58,83
29,38,78,90
39,89,58,54
35,44,62,80
39,81,37,48
46,62,26,23
19,36,40,68
35,104,68,40
52,64,24,28
40,52,62,56
38,85,53,57
61,60,60,9
34,76,72,55
40,40,62,58
47,33,30,23
24,58,75,100
45,81,69,37
50,91,54,27
45,97,52,48
41,93,68,60
35,107,51,50
59,88,36,33
36,48,63,52
24,82,24,61
18,47,76,78
46,63,16,28
23,26,70,76
25,15,94,92
30,31,93,100
32,106,39,60
33,107,66,57
23,12,79,81
37,101,58,53
35,96,56,64
34,63,55,47
57,79,41,1
28,71,63,63
38,27,92,61
33,43,48,72
52,59,24,21
24,16,65,81
33,45,76,100
35,61,50,72
54,70,44,30
26,102,48,57
32,71,52,63
27,68,71,75
59,51,44,33
18,37,82,62
30,58,51,59
38,101,47,59
37,110,67,67
24,31,59,89
52,59,28,7
39,58,61,48
26,74,78,70
40,64,61,52
20,42,74,76
18,25,94,89
37,37,52,63
23,12,65,83
31,27,71,78
18,32,74,78
21,26,94,67
65,87,20,11
22,36,77,97
33,42,85,68
18,20,66,78
35,54,76,96
18,19,63,85
54,65,26,27
30,25,71,83
34,111,58,65
32,104,65,49
31,59,50,82
27,39,72,58
23,26,60,83
52,67,33,29
65,31,50,22
30,46,85,55
28,57,67,75
37,76,40,61
27,21,73,85
50,50,33,20
62,52,47,22
39,114,39,65
47,67,74,50
32,68,45,59
55,50,55,37
36,83,36,61
30,49,73,80
30,25,63,83
46,95,53,68
28,26,74,82
37,106,56,46
33,60,58,64
18,56,78,68
31,96,76,56
45,57,29,13
26,82,54,47
32,104,53,41
23,40,81,64
26,33,90,55
38,64,55,56
59,62,35,31
35,56,62,49
49,45,36,17
34,24,68,82
26,51,63,75
30,21,82,87
30,63,87,64
26,25,74,83
30,83,80,62
54,57,52,25
20,40,75,66
53,54,35,8
30,62,77,72
39,98,43,51
60,55,44,21
34,50,60,65
60,46,16,10
24,53,76,100
36,69,55,72
54,56,54,14
37,108,49,50
28,88,61,50
32,78,49,38
38,86,52,67
23,41,83,70
23,62,72,54
37,88,69,42
31,87,58,58
35,71,78,89
18,41,86,48
42,55,46,27
40,60,59,69
18,28,75,68
23,20,53,90
26,40,77,81
39,101,48,54
41,69,85,40
54,76,22,14
60,69,6,49
54,72,39,18
21,20,81,83
37,97,88,58
35,34,54,58
19,39,74,74
57,46,28,24
62,65,33,38
39,99,58,31
27,26,81,93
32,103,45,50
57,49,48,24
51,70,49,21
